,date,price
0,2017.12.01,10859.5625
1,2017.12.02,10895.0138
2,2017.12.03,11180.8875
3,2017.12.04,11616.855
4,2017.12.05,11696.0583
5,2017.12.06,13708.9913
6,2017.12.07,16858.02
7,2017.12.08,16057.145
8,2017.12.09,14913.4038
9,2017.12.10,15036.9563
10,2017.12.11,16699.6775
11,2017.12.12,17178.1025
12,2017.12.13,16407.2025
13,2017.12.14,16531.0838
14,2017.12.15,17601.9438
15,2017.12.16,19343.04
16,2017.12.17,19086.6438
17,2017.12.18,18960.5225
18,2017.12.19,17608.35
19,2017.12.20,16454.7225
20,2017.12.21,15561.05
21,2017.12.22,13857.145
22,2017.12.23,14548.71
23,2017.12.24,13975.4363
24,2017.12.25,13917.0275
25,2017.12.26,15745.2575
26,2017.12.27,15378.285
27,2017.12.28,14428.76
28,2017.12.29,14427.87
29,2017.12.30,12629.8138
30,2017.12.31,13860.1363
31,2018.01.01,13412.44
32,2018.01.02,14740.7563
33,2018.01.03,15134.6513
34,2018.01.04,15155.2263
35,2018.01.05,16937.1738
36,2018.01.06,17135.8363
37,2018.01.07,16178.495
38,2018.01.08,14970.3575
39,2018.01.09,14439.4738
40,2018.01.10,14890.7225
41,2018.01.11,13287.26
42,2018.01.12,13812.715
43,2018.01.13,14188.785
44,2018.01.14,13619.0288
45,2018.01.15,13585.9013
46,2018.01.16,11348.02
47,2018.01.17,11141.2488
48,2018.01.18,11250.6475
49,2018.01.19,11514.925
50,2018.01.20,12759.6413
51,2018.01.21,11522.8588
52,2018.01.22,10772.15
53,2018.01.23,10839.8263
54,2018.01.24,11399.52
55,2018.01.25,11137.2375
56,2018.01.26,11090.0638
57,2018.01.27,11407.1538
58,2018.01.28,11694.4675
59,2018.01.29,11158.3938
60,2018.01.30,10034.9975
61,2018.01.31,10166.5063
62,2018.02.01,9052.5763
63,2018.02.02,8827.63
64,2018.02.03,9224.3913
65,2018.02.04,8186.6488
66,2018.02.05,6914.26
67,2018.02.06,7700.3863
68,2018.02.07,7581.8038
69,2018.02.08,8237.2363
70,2018.02.09,8689.8388
71,2018.02.10,8556.6125
72,2018.02.11,8070.7963
73,2018.02.12,8891.2125
74,2018.02.13,8516.2438
75,2018.02.14,9477.84
76,2018.02.15,10016.4888
77,2018.02.16,10178.7125
78,2018.02.17,11092.1475
79,2018.02.18,10396.63
80,2018.02.19,11159.7238
81,2018.02.20,11228.2413
82,2018.02.21,10456.1725
83,2018.02.22,9830.4263
84,2018.02.23,10149.4625
85,2018.02.24,9682.3825
86,2018.02.25,9586.46
87,2018.02.26,10313.0825
88,2018.02.27,10564.4188
89,2018.02.28,10309.6413
90,2018.03.01,10907.59
91,2018.03.02,11019.5213
92,2018.03.03,11438.6513
93,2018.03.04,11479.7313
94,2018.03.05,11432.9825
95,2018.03.06,10709.5275
96,2018.03.07,9906.8
97,2018.03.08,9299.2838
98,2018.03.09,9237.05
99,2018.03.10,8787.1638
100,2018.03.11,9532.7413
101,2018.03.12,9118.2713
102,2018.03.13,9144.1475
103,2018.03.14,8196.8975
104,2018.03.15,8256.9938
105,2018.03.16,8269.3275
106,2018.03.17,7862.1088
107,2018.03.18,8196.0225
108,2018.03.19,8594.1913
109,2018.03.20,8915.9038
110,2018.03.21,8895.4
111,2018.03.22,8712.8913
112,2018.03.23,8918.7438
113,2018.03.24,8535.8938
114,2018.03.25,8449.835
115,2018.03.26,8138.3363
116,2018.03.27,7790.1575
117,2018.03.28,7937.205
118,2018.03.29,7086.4875
119,2018.03.30,6844.3213
120,2018.03.31,6926.0175
121,2018.04.01,6816.74
122,2018.04.02,7049.7938
123,2018.04.03,7417.8875
124,2018.04.04,6789.3013
125,2018.04.05,6774.7513
126,2018.04.06,6620.4088
127,2018.04.07,6896.2813
128,2018.04.08,7022.7088
129,2018.04.09,6773.9388
130,2018.04.10,6830.9038
131,2018.04.11,6939.55
132,2018.04.12,7916.3725
133,2018.04.13,7889.2313
134,2018.04.14,8003.6813
135,2018.04.15,8357.0375
136,2018.04.16,8051.345
137,2018.04.17,7890.15
138,2018.04.18,8163.69
139,2018.04.19,8273.7413
140,2018.04.20,8863.5025
141,2018.04.21,8917.5963
142,2018.04.22,8792.83
143,2018.04.23,8938.3038
144,2018.04.24,9652.1563
145,2018.04.25,8864.0875
146,2018.04.26,9278.9975
147,2018.04.27,8978.3325
148,2018.04.28,9342.4713
149,2018.04.29,9392.0313
150,2018.04.30,9244.3225
151,2018.05.01,9067.715
152,2018.05.02,9219.8638
153,2018.05.03,9734.675
154,2018.05.04,9692.7175
155,2018.05.05,9826.5975
156,2018.05.06,9619.1438
157,2018.05.07,9362.5338
158,2018.05.08,9180.1588
159,2018.05.09,9306.0
160,2018.05.10,9014.615
161,2018.05.11,8406.175
162,2018.05.12,8467.6563
163,2018.05.13,8688.0288
164,2018.05.14,8675.2063
165,2018.05.15,8474.2388
166,2018.05.16,8340.2988
167,2018.05.17,8058.6038
168,2018.05.18,8240.725
169,2018.05.19,8234.1525
170,2018.05.20,8520.8125
171,2018.05.21,8395.2325
172,2018.05.22,7983.5175
173,2018.05.23,7502.5588
174,2018.05.24,7578.6913
175,2018.05.25,7460.6938
176,2018.05.26,7334.1638
177,2018.05.27,7344.9675
178,2018.05.28,7105.6725
179,2018.05.29,7460.5838
180,2018.05.30,7375.67
181,2018.05.31,7487.1875
182,2018.06.01,7518.245
183,2018.06.02,7636.1938
184,2018.06.03,7711.365
185,2018.06.04,7490.59
186,2018.06.05,7616.8913
187,2018.06.06,7655.9788
188,2018.06.07,7688.0038
189,2018.06.08,7616.1025
190,2018.06.09,7497.3438
191,2018.06.10,6765.8013
192,2018.06.11,6877.1825
193,2018.06.12,6548.33
194,2018.06.13,6299.5225
195,2018.06.14,6637.7388
196,2018.06.15,6410.7225
197,2018.06.16,6485.8688
198,2018.06.17,6443.6725
199,2018.06.18,6709.48
200,2018.06.19,6737.4138
201,2018.06.20,6758.3788
202,2018.06.21,6717.2025
203,2018.06.22,6053.8963
204,2018.06.23,6170.56
